Date,Event,Country,Unique Users
2018-03,All Events - Unique,Ukraine,119
2018-03,All Events - Unique,Venezuela,28
2018-03,All Events - Unique,Yemen,323
2018-04,All Events - Unique,Afghanistan,263
2018-04,All Events - Unique,Congo,254
2018-04,All Events - Unique,Ethiopia,281
2018-04,All Events - Unique,Myanmar,249
2018-04,All Events - Unique,South Sudan,126
2018-04,All Events - Unique,Sudan,6
2018-04,All Events - Unique,Syria,6
2018-04,All Events - Unique,Ukraine,176
2018-04,All Events - Unique,Venezuela,47
2018-04,All Events - Unique,Yemen,695
2018-05,All Events - Unique,Afghanistan,314
2018-05,All Events - Unique,Congo,283
2018-05,All Events - Unique,Ethiopia,345
2018-05,All Events - Unique,Myanmar,356
2018-05,All Events - Unique,South Sudan,172
2018-05,All Events - Unique,Sudan,4
2018-05,All Events - Unique,Syria,10
2018-05,All Events - Unique,Ukraine,178
2018-05,All Events - Unique,Venezuela,38
2018-05,All Events - Unique,Yemen,542
2018-06,All Events - Unique,Afghanistan,292
2018-06,All Events - Unique,Congo,235
2018-06,All Events - Unique,Ethiopia,261
2018-06,All Events - Unique,Myanmar,378
2018-06,All Events - Unique,South Sudan,144
2018-06,All Events - Unique,Sudan,1
2018-06,All Events - Unique,Syria,11
2018-06,All Events - Unique,Ukraine,202
2018-06,All Events - Unique,Venezuela,38
2018-06,All Events - Unique,Yemen,440
2018-07,All Events - Unique,Afghanistan,330
2018-07,All Events - Unique,Congo,204
2018-07,All Events - Unique,Ethiopia,316
2018-07,All Events - Unique,Myanmar,379
2018-07,All Events - Unique,South Sudan,136
2018-07,All Events - Unique,Sudan,6
2018-07,All Events - Unique,Syria,6
2018-07,All Events - Unique,Ukraine,240
2018-07,All Events - Unique,Venezuela,44
2018-07,All Events - Unique,Yemen,627
2018-08,All Events - Unique,Afghanistan,249
2018-08,All Events - Unique,Congo,272
2018-08,All Events - Unique,Ethiopia,427
2018-08,All Events - Unique,Myanmar,387
2018-08,All Events - Unique,South Sudan,214
2018-08,All Events - Unique,Sudan,8
2018-08,All Events - Unique,Syria,9
2018-08,All Events - Unique,Ukraine,363
2018-08,All Events - Unique,Venezuela,38
2018-08,All Events - Unique,Yemen,620
2018-09,All Events - Unique,Afghanistan,316
2018-09,All Events - Unique,Congo,232
2018-09,All Events - Unique,Ethiopia,361
2018-09,All Events - Unique,Myanmar,356
2018-09,All Events - Unique,South Sudan,188
2018-09,All Events - Unique,Sudan,6
2018-09,All Events - Unique,Syria,16
2018-09,All Events - Unique,Ukraine,239
2018-09,All Events - Unique,Venezuela,53
2018-09,All Events - Unique,Yemen,599
2018-10,All Events - Unique,Afghanistan,261
2018-10,All Events - Unique,Congo,277
2018-10,All Events - Unique,Ethiopia,466
2018-10,All Events - Unique,Myanmar,328
2018-10,All Events - Unique,South Sudan,212
2018-10,All Events - Unique,Sudan,32
2018-10,All Events - Unique,Syria,9
2018-10,All Events - Unique,Ukraine,342
2018-10,All Events - Unique,Venezuela,56
2018-10,All Events - Unique,Yemen,715
2018-11,All Events - Unique,Afghanistan,391
2018-11,All Events - Unique,Congo,275
2018-11,All Events - Unique,Ethiopia,610
2018-11,All Events - Unique,Myanmar,390
2018-11,All Events - Unique,South Sudan,179
2018-11,All Events - Unique,Sudan,26
2018-11,All Events - Unique,Syria,10
2018-11,All Events - Unique,Ukraine,310
2018-11,All Events - Unique,Venezuela,36
2018-11,All Events - Unique,Yemen,654
2018-12,All Events - Unique,Afghanistan,303
2018-12,All Events - Unique,Congo,288
2018-12,All Events - Unique,Ethiopia,544
2018-12,All Events - Unique,Myanmar,288
2018-12,All Events - Unique,South Sudan,177
2018-12,All Events - Unique,Sudan,27
2018-12,All Events - Unique,Syria,10
2018-12,All Events - Unique,Ukraine,347
2018-12,All Events - Unique,Venezuela,32
2018-12,All Events - Unique,Yemen,757
2019-01,All Events - Unique,Afghanistan,271
