Date,Event,Country,Unique Users
2020-03,All Events - Unique,Ukraine,898
2020-03,All Events - Unique,Yemen,885
2020-04,All Events - Unique,Afghanistan,578
2020-04,All Events - Unique,Central African Republic,85
2020-04,All Events - Unique,Ethiopia,1353
2020-04,All Events - Unique,Nigeria,2277
2020-04,All Events - Unique,Somalia,782
2020-04,All Events - Unique,South Sudan,226
2020-04,All Events - Unique,Sudan,73
2020-04,All Events - Unique,Syria,2
2020-04,All Events - Unique,Ukraine,939
2020-04,All Events - Unique,Yemen,784
2020-05,All Events - Unique,Afghanistan,431
2020-05,All Events - Unique,Central African Republic,84
2020-05,All Events - Unique,Ethiopia,1139
2020-05,All Events - Unique,Nigeria,2037
2020-05,All Events - Unique,Somalia,608
2020-05,All Events - Unique,South Sudan,202
2020-05,All Events - Unique,Sudan,47
2020-05,All Events - Unique,Syria,2
2020-05,All Events - Unique,Ukraine,623
2020-05,All Events - Unique,Yemen,526
2020-06,All Events - Unique,Afghanistan,350
2020-06,All Events - Unique,Central African Republic,78
2020-06,All Events - Unique,Ethiopia,999
2020-06,All Events - Unique,Nigeria,2484
2020-06,All Events - Unique,Somalia,711
2020-06,All Events - Unique,South Sudan,178
2020-06,All Events - Unique,Sudan,39
2020-06,All Events - Unique,Syria,4
2020-06,All Events - Unique,Ukraine,399
2020-06,All Events - Unique,Yemen,570
2020-07,All Events - Unique,Afghanistan,353
2020-07,All Events - Unique,Central African Republic,76
2020-07,All Events - Unique,Ethiopia,402
2020-07,All Events - Unique,Nigeria,2302
2020-07,All Events - Unique,Somalia,545
2020-07,All Events - Unique,South Sudan,183
2020-07,All Events - Unique,Sudan,27
2020-07,All Events - Unique,Syria,2
2020-07,All Events - Unique,Ukraine,362
2020-07,All Events - Unique,Yemen,629
2020-08,All Events - Unique,Afghanistan,451
2020-08,All Events - Unique,Central African Republic,89
2020-08,All Events - Unique,Ethiopia,967
2020-08,All Events - Unique,Nigeria,1850
2020-08,All Events - Unique,Somalia,598
2020-08,All Events - Unique,South Sudan,189
2020-08,All Events - Unique,Sudan,31
2020-08,All Events - Unique,Syria,2
2020-08,All Events - Unique,Ukraine,390
2020-08,All Events - Unique,Yemen,820
2020-09,All Events - Unique,Afghanistan,439
2020-09,All Events - Unique,Central African Republic,103
2020-09,All Events - Unique,Ethiopia,988
2020-09,All Events - Unique,Nigeria,1734
2020-09,All Events - Unique,Somalia,623
2020-09,All Events - Unique,South Sudan,242
2020-09,All Events - Unique,Sudan,56
2020-09,All Events - Unique,Syria,1
2020-09,All Events - Unique,Ukraine,440
2020-09,All Events - Unique,Yemen,927
2020-10,All Events - Unique,Afghanistan,431
2020-10,All Events - Unique,Central African Republic,113
